"gene_name","fc","qval","pval","logfc","abs_fc","cluster","zone","celltype"
"RPL36A",0.988597655310825,0.990943652713057,0.95313552674815,-0.0165446100923152,0.0165446100923152,"15",NA,"interzonalhepatocyte"
"RPL36A",0.983705578001806,0.987755731816387,0.937827868233656,-0.0237015117574569,0.0237015117574569,"15",NA,"interzonalhepatocyte"
"RAC1",0.987772769365643,0.986968943718902,0.932588182941907,-0.0177488974229265,0.0177488974229265,"13",NA,"liverendothelial"
"BRI3",1.0298718882657,0.97825614970617,0.891725540429938,0.0424648833705553,0.0424648833705553,"7",NA,"plasmacell"
"RACK1",1.03324719765033,0.97825614970617,0.891726464380055,0.0471854508729134,0.0471854508729134,"t6",NA,"nkcell"
"RACK1",0.966743239986439,0.967572242921847,0.834573658230653,-0.048795323680794,0.048795323680794,"t6",NA,"nkcell"
"BRI3",1.04462923208698,0.963287799334417,0.811345190746752,0.0629909806367535,0.0629909806367535,"7",NA,"plasmacell"
"BRI3",0.947821496352472,0.960173528631234,0.796435817205118,-0.0773127135861606,0.0773127135861606,"7",NA,"plasmacell"
"RACK1",1.05358285827334,0.95414929259295,0.764792499126829,0.0753037783406795,0.0753037783406795,"t6",NA,"nkcell"
"RACK1",0.898496253225191,0.944904169531914,0.717228552071177,-0.154415607250873,0.154415607250873,"t6",NA,"nkcell"
"RPL36A",1.08159857937371,0.94071119059272,0.694009741776824,0.11316516182533,0.11316516182533,"15",NA,"interzonalhepatocyte"
"RACK1",1.42176293824095,0.935225341266019,0.679778697078109,0.507680933075884,0.507680933075884,"t6",NA,"nkcell"
"RACK1",0.858570614811355,0.931308487461415,0.660104264716203,-0.219991298518357,0.219991298518357,"t6",NA,"nkcell"
"DBP",1.08527659083057,0.92975575404595,0.654506917857623,0.118062771118253,0.118062771118253,"5",NA,"periportalEC"
"BRI3",0.905335880813411,0.924906014549244,0.632966843110023,-0.143474961604229,0.143474961604229,"7",NA,"plasmacell"
"RACK1",0.83999322662663,0.919808918788868,0.618995527642494,-0.251550400271642,0.251550400271642,"t6",NA,"nkcell"
"BRF2",1.08548319300602,0.908716128768143,0.580015169373611,0.118337388270347,0.118337388270347,"2",NA,"tcell"
"RAC1",1.31649304061012,0.908439779431959,0.578070059104375,0.396699894871401,0.396699894871401,"13",NA,"liverendothelial"
"RACK1",0.807095306481963,0.896396302212435,0.54724702006413,-0.309189049550004,0.309189049550004,"t6",NA,"nkcell"
"RACK1",1.41837773474988,0.866302902143773,0.463367170489985,0.504241794551403,0.504241794551403,"t6",NA,"nkcell"
"RACK1",0.77525682700617,0.862168540887523,0.454004527043173,-0.367253769445042,0.367253769445042,"t6",NA,"nkcell"
"RAC1",0.902861092086924,0.859487455130204,0.447424903852175,-0.147424053108973,0.147424053108973,"13",NA,"liverendothelial"
"BRI3",0.821627410308157,0.84356999177254,0.415692912938639,-0.283443782685959,0.283443782685959,"7",NA,"plasmacell"
"RPL36A",0.497835483864258,0.761601261878972,0.270397585343905,-1.00625903095943,1.00625903095943,"15",NA,"interzonalhepatocyte"
"BRI3",1.40261906326451,0.678869605204546,0.180349658234645,0.488123241201628,0.488123241201628,"7",NA,"plasmacell"
"RACK1",1.46225845350014,0.666313667789578,0.168346673004784,0.548198329504268,0.548198329504268,"t6",NA,"nkcell"
"RPL36A",0.811154024325754,0.642448598177521,0.149893493083879,-0.301952211230699,0.301952211230699,"15",NA,"interzonalhepatocyte"
"RACK1",0.619657062066752,0.632347441056762,0.142750021827514,-0.690458091866752,0.690458091866752,"t6",NA,"nkcell"
"RPL36A",1.7745353549391,0.571670389828129,0.102929298898141,0.8274413182068,0.8274413182068,"15",NA,"interzonalhepatocyte"
"RPL36A",0.759039472333328,0.549737625010618,0.0925305256265572,-0.397753182818658,0.397753182818658,"15",NA,"interzonalhepatocyte"
"RAC1",0.748788720285043,0.467905692322004,0.0598978726032149,-0.417369392486611,0.417369392486611,"13",NA,"liverendothelial"
"RACK1",1.42118707810223,0.461348983925288,0.0572320816002332,0.507096476386204,0.507096476386204,"t6",NA,"nkcell"
"RAC1",1.48897608689396,0.423674109664589,0.0459799045739251,0.57432058427829,0.57432058427829,"13",NA,"liverendothelial"
"BRF2",0.674527485050567,0.416468394646757,0.0441097513796858,-0.56805086485203,0.56805086485203,"2",NA,"tcell"
"DBP",0.715996708547237,0.364400657376885,0.0307621388614259,-0.481975139483715,0.481975139483715,"5",NA,"periportalEC"
"BRI3",0.643728413889663,0.313985253322367,0.0212957021634721,-0.635475944708375,0.635475944708375,"7",NA,"plasmacell"
