"","gene_name","fc.asian","qval.asian","pval.asian","logfc.asian","abs_fc.asian","fc.white","qval.white","pval.white","logfc.white","abs_fc.white","fc.black","qval.black","pval.black","logfc.black","abs_fc.black"
"1","IGFBP3",17.8562907042557,0.0397003111729879,0.000613172935367778,4.15836051474406,4.15836051474406,3.22747233449276,0.0100037293438648,9.39375084981764e-05,1.69040472897595,1.69040472897595,4.61709189235263,0.00661600613619082,5.00354223675892e-06,2.20698444612394,2.20698444612394
"2","PSMB4",0.138944514038297,0.0388395100299204,0.000561618308924983,-2.84741922131317,2.84741922131317,0.378329583791308,0.0387667902738275,0.000943457170931916,-1.40228450137014,1.40228450137014,0.431026075854007,0.0339445549658027,3.86515609075433e-05,-1.21415294397832,1.21415294397832
"3","SFRP5",3.85946688570796,0.0290120835857186,0.000267574617226041,1.94840157949779,1.94840157949779,4.82447175179421,5.5791572584433e-06,6.1769486192631e-09,2.27037098532624,2.27037098532624,5.61682733049324,0.000896170875243007,2.48887959353183e-07,2.48975545303757,2.48975545303757
"4","CLEC4G",2.67440208228775,0.000679427442132145,1.33970498361613e-06,1.41921638334983,1.41921638334983,2.16013817857781,0.00743712354963245,5.68755296677104e-05,1.11112360089471,1.11112360089471,4.06957624176598,0.0273943823213646,3.0432285190507e-05,2.02487857686713,2.02487857686713
"5","CXCL14",5.64469530126059,2.90130637361596e-05,3.75780562222872e-08,2.49689570691068,2.49689570691068,3.90506992309307,5.38601559430627e-09,1.87727611233868e-12,1.96534838109362,1.96534838109362,3.66606700095492,0.000520187103447959,8.66809959365611e-08,1.87423315277963,1.87423315277963
"6","MARCO",4.00963656777063,4.6601000574666e-06,5.13494757825583e-09,2.00347147716985,2.00347147716985,3.69917048986131,7.82503906049992e-07,5.92652704689556e-10,1.88720179389507,1.88720179389507,13.9033862992746,0.00661600613619082,4.78587973640199e-06,3.79736440245342,3.79736440245342
"7","PLAC8",5.65072588273493,2.40844400124025e-06,2.46762033029313e-09,2.49843620560863,2.49843620560863,3.28931151701524,9.13189329484796e-05,1.36676961193238e-07,1.71778564629154,1.71778564629154,6.67171218654817,0.00393099280655769,2.51097938042122e-06,2.73805705317169,2.73805705317169
"8","FCN3",2.96695545923717,1.67274444562437e-06,1.3904775109097e-09,1.56898326884043,1.56898326884043,6.75872247601029,9.40949321062183e-06,1.13822958835996e-08,2.75675057613741,2.75675057613741,14.8039744031995,0.00275320176432176,1.37633326180442e-06,3.88791264114954,3.88791264114954
"9","CFP",12.7961310184634,1.86334912126718e-07,8.66264837640074e-11,3.67763576415722,3.67763576415722,3.05788805282686,0.00311794630411362,1.44473667267331e-05,1.61253559159479,1.61253559159479,10.0545397652601,0.00393099280655769,2.18772845306248e-06,3.32977514037219,3.32977514037219
"10","OIT3",14.1278680501553,1.73839787477373e-08,6.3851146592242e-12,3.82047186873131,3.82047186873131,2.83611774850695,0.0065099122286383,4.51184995788889e-05,1.50391743090627,1.50391743090627,8.07659952670659,0.00213603174188382,8.8984020130134e-07,3.01374800602645,3.01374800602645
"11","COLEC10",8.80294557128566,2.23815746888282e-09,6.05737682235485e-13,3.13798634761698,3.13798634761698,4.6115979418768,5.52209848218392e-09,2.03792538400194e-12,2.20526673837017,2.20526673837017,5.53778932166181,0.00184565701655427,6.15099402856423e-07,2.46931016920227,2.46931016920227
"12","GDF2",6.43430996035712,0,0,2.6857854366899,2.6857854366899,3.99530124797217,1.94940064091043e-11,1.99840144432528e-15,1.99830428727596,1.99830428727596,5.9626345965763,0.000351611123433931,3.90603075439699e-08,2.57594992793097,2.57594992793097
"13","FCN2",12.8955060829715,0,0,3.68879648756209,3.68879648756209,4.60110415361316,0,0,2.20198011460253,2.20198011460253,4.07339558963543,0.00739483013816004,5.95578843021194e-06,2.02623192911956,2.02623192911956
